"Employment income statistics by major field of study (detailed, 4-digit) and highest level of education: Canada, provinces and territories",,,,,,,
Frequency: Occasional,,,,,,,
Table: 98-10-0409-01,,,,,,,
Release date: 2023-10-04,,,,,,,
"Geography: Canada, Province or territory",,,,,,,
"Universe: Population aged 15 years and over in private households, 2021 Census — 25% Sample data",,,,,,,
"Variable List: Major field of study - Classification of Instructional Programs (CIP) 2021 (500), Gender (3), Age (15A), Highest certificate, diploma or degree (16), Work activity during the reference year (5), Income year (2), Employment income statistics (7)",,,,,,,
,,,,,,,
Geography,Canada i1,,,,,,
Gender (3) 1 2,Total - Gender,,,,,,
Age (15A) 3,Total - Age,,,,,,
"Highest certificate, diploma or degree (16) 4","Total - Highest certificate, diploma or degree 6",,,,,,
Work activity during the reference year (5) 5,Total - Work activity during the reference year 7,,,,,,
Income year (2),2020,,,,,,
Employment income statistics (7),Total - Employment income statistics 9 10 11 12,With employment income,Median employment income ($),Average employment income ($),"With wages, salaries and commissions","Median wages, salaries and commissions ($)","Average wages, salaries and commissions ($)"
Major field of study - Classification of Instructional Programs (CIP) 2021 (500) 8,,,,,,,
52.09 Hospitality administration/management,"128,710","109,095","32,000","39,600","102,460","33,200","40,360"
52.10 Human resources management and services,"139,880","117,895","54,400","61,650","113,040","55,600","62,900"
52.11 International business/trade/commerce,"32,465","26,655","42,800","55,950","24,400","45,200","58,750"
52.12 Management information systems and services,"19,245","16,230","69,000","75,700","15,430","71,500","77,900"
52.13 Management sciences and quantitative methods,"16,105","14,095","84,000","109,700","13,525","86,000","111,700"
52.14 Marketing,"157,820","134,750","48,400","61,400","123,965","50,800","63,600"
52.15 Real estate,"62,365","45,740","38,400","55,500","29,555","40,000","53,700"
52.16 Taxation,"4,840","4,160","80,000","107,400","3,715","80,000","98,100"
52.17 Insurance,"37,780","28,775","54,000","61,250","26,340","56,400","63,850"
"52.18 General sales, merchandising and related marketing operations","31,595","24,200","38,800","50,080","22,365","40,800","51,800"
"52.19 Specialized sales, merchandising and marketing operations","90,620","75,845","35,200","41,160","70,275","36,800","42,720"
52.20 Construction management,"9,670","8,300","66,000","76,300","7,810","68,000","78,700"
52.21 Telecommunications management,195,170,"55,200","63,200",145,"54,800","65,000"
"52.99 Business, management, marketing and related support services, other","1,790","1,415","48,800","79,600","1,260","52,400","86,800"
Physical and life sciences and technologies,"719,720","563,660","46,400","60,950","524,870","49,200","62,350"
26. Biological and biomedical sciences,"297,050","238,965","49,200","61,800","222,920","51,200","62,250"
"26.01 Biology, general","122,640","98,645","45,200","55,450","92,330","47,200","56,700"
26.02 Biochemistry/biophysics and molecular biology,"45,040","36,030","54,400","67,100","33,710","57,200","67,800"
26.03 Botany/plant biology,"8,585","6,350","37,600","49,960","5,635","42,800","53,750"
26.04 Cell/cellular biology and anatomical sciences,"6,595","5,360","58,000","68,900","5,010","59,200","68,500"
26.05 Microbiological sciences and immunology,"26,590","21,075","53,600","66,400","19,740","55,200","66,500"
26.07 Zoology/animal biology,"12,585","9,475","41,200","53,600","8,590","45,200","56,950"
26.08 Genetics,"6,295","4,945","68,000","82,100","4,590","69,000","81,100"
"26.09 Physiology, pathology and related sciences","12,270","9,655","58,400","78,100","8,795","58,400","74,400"
26.10 Pharmacology and toxicology,"8,405","6,910","60,400","79,000","6,460","62,000","78,900"
"26.11 Biomathematics, bioinformatics, and computational biology","2,775","2,350","60,000","69,400","2,220","61,200","70,400"
26.12 Biotechnology,"12,505","10,620","39,600","47,760","10,225","40,000","47,960"
"26.13 Ecology, evolution, systematics and population biology","20,035","17,000","58,000","73,600","15,760","59,600","70,800"
26.14 Molecular medicine,515,415,"69,000","72,400",385,"69,500","70,000"
26.15 Neurobiology and neurosciences,"12,190","10,110","42,400","62,400","9,455","44,000","61,550"
"26.99 Biological and biomedical sciences, other",35,20,x,"68,000",20,x,"56,000"
30.01 Biological and physical sciences,"155,960","122,235","42,400","57,450","113,150","45,200","59,100"
30C Other interdisciplinary physical and life sciences,"35,380","30,565","14,600","30,400","29,440","14,500","30,240"
30.10 Biopsychology,"3,650","3,115","41,600","49,280","2,915","42,800","49,840"
30.18 Natural sciences,"24,375","21,310","11,500","19,200","20,830","11,500","19,060"
30.19 Nutrition sciences,"3,625","3,080","51,200","55,400","2,885","52,000","55,900"
30.27 Human biology,"1,955","1,595","52,400","69,900","1,485","56,800","72,500"
30.32 Marine sciences,375,300,"54,000","55,200",270,"58,000","58,400"
